country,premium_written,zip_code,grp_id,grp_name,grp_type,city
India,72000,482018,GRP101,Life Insurance Corporation of India,Govt.,Mumbai
India,45000,482049,GRP102,HDFC Standard Life Insurance Co. Ltd.,Private,Mumbai
India,64000,482030,GRP103,Max Life Insurance Co. Ltd.,Private,Delhi
India,59000,482028,GRP104,ICICI Prudential Life Insurance Co. Ltd.,Private,Mumbai
India,37000,482014,GRP105,Kotak Mahindra Life Insurance Co. Ltd.,Private,Mumbai
India,89000,482011,GRP106,Aditya Birla Sun Life Insurance Co. Ltd.,Private,Mumbai
India,70000,482006,GRP107,TATA AIG Life Insurance Co. Ltd.,Private,Mumbai
India,52000,482034,GRP108,SBI Life Insurance Co. Ltd.,Private,Mumbai
India,78000,482032,GRP109,Exide Life Insurance Co. Ltd.,Private,Bangalore
India,48000,482015,GRP110,Bajaj Allianz Life Insurance Co. Ltd.,Private,Pune
India,57000,482011,GRP111,PNB MetLife India Insurance Co. Ltd.,Private,Mumbai
India,57000,482022,GRP112,Reliance Nippon Life Insurance Company,Private,Mumbai
India,64000,482009,GRP113,Aviva Life Insurance Company India Ltd.,Private,Gurugram
India,33000,482043,GRP114,Sahara India Life Insurance Co. Ltd.,Private,Lucknow
India,79000,482036,GRP115,Shriram Life Insurance Co. Ltd.,Private,Hyderabad
India,32000,482002,GRP116,Bharti AXA Life Insurance Co. Ltd.,Private,Mumbai
India,59000,482017,GRP117,Future Generali India Life Insurance Co. Ltd.,Private,Mumbai
India,97000,482023,GRP118,IDBI Federal Life Insurance Co. Ltd.,Private,Mumbai
India,47000,482046,GRP119,Canara HSBC Oriental Bank of Commerce Life Insurance Co. Ltd.,Private,Gurugram
India,50000,482017,GRP120,Aegon Life Insurance Co. Ltd.,Private,Mumbai
India,78000,482039,GRP121,Pramerica Life Insurance Co. Ltd.,Private,Mumbai
India,79000,482027,GRP122,Star Union Dai-Ichi Life Insurance Co. Ltd.,Private,Mumbai
India,99000,482040,GRP123,IndiaFirst Life Insurance Co. Ltd.,Private,Mumbai
India,81000,482033,GRP124,Edelweiss Tokio Life Insurance Co. Ltd.,Private,Mumbai
India,60000,482006,GRP125,Acko General Insurance,Private,Mumbai
India,42000,482035,GRP126,Aditya Birla Health Insurance,Private,Mumbai
India,60000,482020,GRP127,Agriculture Insurance Company of India,Govt.,New Delhi
India,50000,482039,GRP128,Apollo Munich Health Insurance,Private,Gurgaon
India,88000,482003,GRP129,Bajaj Allianz General Insurance,Private,Pune
India,42000,482036,GRP130,Bharti AXA General Insurance,Private,Mumbai
India,99000,482005,GRP131,Cholamandalam MS General Insurance,Private,Chennai
India,57000,482048,GRP132,Cigna TTK,Private,Mumbai
India,93000,482046,GRP133,DHFL General Insurance,Private,Mumbai
India,90000,482019,GRP134,Digit Insurance,Private,Pune
India,39000,482024,GRP135,Edelweiss General Insurance,Private,Mumbai
India,34000,482005,GRP136,Export Credit Guarantee Corporation of India,Govt.,Mumbai
India,47000,482015,GRP137,Future Generali India Insurance,Private,Mumbai
India,32000,482029,GRP138,HDFC ERGO General Insurance Company,Private,Mumbai
India,71000,482009,GRP139,ICICI Lombard,Private,Mumbai
India,54000,482022,GRP140,IFFCO TOKIO General Insurance,Private,Gurugram
India,71000,482049,GRP141,Kotak Mahindra General Insurance,Private,Mumbai
India,60000,482012,GRP142,Liberty General Insurance,Private,Mumbai
India,90000,482009,GRP143,Magma HDI General Insurance,Private,Mumbai
India,44000,482046,GRP144,Max Bupa Health Insurance,Private,New Delhi
India,63000,482043,GRP145,National Insurance Company,Govt.,Kolkata
India,46000,482030,GRP146,New India Assurance,Govt.,Mumbai
India,99000,482040,GRP147,Raheja QBE General Insurance,Private,Mumbai
India,67000,482031,GRP148,Reliance General Insurance,Private,Mumbai
India,34000,482049,GRP149,Reliance Health Insurance,Private,Mumbai
India,84000,482038,GRP150,Religare Health Insurance Company Limited,Private,Gurgaon
India,31000,482044,GRP151,Royal Sundaram General Insurance,Private,Chennai
India,87000,482017,GRP152,SBI General Insurance,Private,Mumbai
India,86000,482004,GRP153,Shriram General Insurance,Private,Jaipur
India,95000,482003,GRP154,Star Health and Allied Insurance,Private,Chennai
India,41000,482043,GRP155,Tata AIG General Insurance,Private,Mumbai
India,67000,482048,GRP156,The Oriental Insurance Company,Govt.,New Delhi
India,92000,482019,GRP157,United India Insurance Company,Govt.,Chennai
India,47000,482042,GRP158,Universal Sompo General Insurance Company,Private,Mumbai
